url,desc,title
http://archivo.lacapital.com.ar/2003/02/01/articulo_80.html,,Una pareja denunció que quemaron su casa 
http://archivo.lacapital.com.ar/2003/02/01/articulo_81.html,,Evitó el arrebato a una mujer en un colectivo
http://archivo.lacapital.com.ar/2003/02/01/articulo_79.html,,Entregan 30 denuncias por diversos delitos rurales
http://archivo.lacapital.com.ar/2003/02/01/articulo_88.html,,Allanan una estancia turística en busca del empresario Conzi
http://archivo.lacapital.com.ar/2003/02/01/articulo_86.html,,"Un conductor holandés, engañado y asaltado en la Circunvalación"
http://archivo.lacapital.com.ar/2003/02/01/articulo_78.html,,No hallan razones clínicas de la recuperación de un nene baleado
http://archivo.lacapital.com.ar/2003/01/31/articulo_101.html,,Trío de ladrones roba un depósito y fuga en moto
http://archivo.lacapital.com.ar/2003/02/01/articulo_85.html,,Le robaron el auto y $5 mil a punta de pistola
http://archivo.lacapital.com.ar/2003/01/31/articulo_100.html,,Conmutaron penas a 282 reclusos de la provincia
http://archivo.lacapital.com.ar/2003/01/31/articulo_111.html,,Sorprendidos cuando desmantelaban un auto 
http://archivo.lacapital.com.ar/2003/01/31/articulo_105.html,,Tres presos heridos tras una pelea en Coronda 
http://archivo.lacapital.com.ar/2003/01/31/articulo_114.html,,Ahora Conzi es sospechado por un autoatentado
http://archivo.lacapital.com.ar/2003/01/31/articulo_104.html,,Asaltaron al director de cine Gustavo Postiglione
http://archivo.lacapital.com.ar/2003/01/31/articulo_99.html,,Un suboficial preso por fraguar documentos para entrar en la policía
http://archivo.lacapital.com.ar/2003/01/31/articulo_98.html,,El garrote de un almacenero fue mucho para un asaltante armado
http://archivo.lacapital.com.ar/2003/01/20/articulo_73.html,,Un robo de 18 mil pesos en Arroyito todavía sin aclarar 
http://archivo.lacapital.com.ar/2003/01/20/articulo_74.html,,Una camioneta chocó a tres autos y se metió en la Jefatura 
http://archivo.lacapital.com.ar/2003/01/20/articulo_83.html,,Crimen en el country: Varias horas de testimonios de imputados clave
http://archivo.lacapital.com.ar/2003/01/20/articulo_85.html,,Tras los pasos de un empresario asesino
http://archivo.lacapital.com.ar/2003/01/31/articulo_102.html,,El nene que no quiso oír a la muerte
http://archivo.lacapital.com.ar/2003/01/20/articulo_76.html,,Correo Argentino: El viejo truco de culpar a los ladrones
http://archivo.lacapital.com.ar/2003/01/20/articulo_72.html,,Se mataron cinco jóvenes al volver de una fiesta
http://archivo.lacapital.com.ar/2003/01/20/articulo_82.html,,La traba de un arma salvó a un ex policía de la ira de un ladrón
http://archivo.lacapital.com.ar/2003/01/20/articulo_77.html,,Otro fugitivo al que se le acabó la libertad por volver al delito
http://archivo.lacapital.com.ar/2003/01/20/articulo_71.html,,Sigue sin pausa el robo sistemático de un complejo Fonavi que no se estrenó
http://archivo.lacapital.com.ar/2003/01/30/articulo_92.html,,Disparó contra la casa de su ex novia y lo hirió una perdigonada 
http://archivo.lacapital.com.ar/2003/01/30/articulo_90.html,,Fue a denunciar el robo de su cartera y encontró a los ladrones 
http://archivo.lacapital.com.ar/2003/01/30/articulo_93.html,,Atentado contra el hermano de un empresario prófugo 
http://archivo.lacapital.com.ar/2003/01/30/articulo_113.html,,Crimen del country: Revés judicial para el viudo de María Marta
http://archivo.lacapital.com.ar/2003/01/30/articulo_114.html,,Roban un camión con 29 toneladas de soja en Monje
http://archivo.lacapital.com.ar/2003/01/30/articulo_95.html,,Insólito caso de secuestro de un adolescente
http://archivo.lacapital.com.ar/2003/01/30/articulo_96.html,,Murió un nene de 12 años que sufrió brutal violación
http://archivo.lacapital.com.ar/2003/01/30/articulo_108.html,,Más quejas de productores por auge de delitos rurales
http://archivo.lacapital.com.ar/2003/01/30/articulo_89.html,,Suman once los fugitivos de la 1ª recapturados
